#DEBUG: Format Typ    -> tdf
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2016-11-14 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station	valid	lon	lat	tmpf	 dwpf	 relh	 drct	 sknt	 p01i	 alti	 mslp	 vsby	 gust	 skyc1	 skyc2	 skyc3	 skyc4	 skyl1	 skyl2	 skyl3	 skyl4	 presentwx	 metar
P60	2016-01-01 00:56	-110.4211	44.5444	-5.98	-9.94	82.42	0.00	0.00	0.00	30.33	1044.60	M	M	M	M	M	M	M	M	M	M	M	KP60 010056Z AUTO 00000KT M21/M23 A3033 RMK AO1 SLP446 T12111233 $
P60	2016-01-01 01:56	-110.4211	44.5444	-9.04	-14.08	77.84	0.00	0.00	0.00	30.34	1044.90	M	M	M	M	M	M	M	M	M	M	M	KP60 010156Z AUTO 00000KT M23/M26 A3034 RMK AO1 SLP449 T12281256 $
P60	2016-01-01 02:56	-110.4211	44.5444	-9.94	-14.98	77.75	0.00	0.00	0.00	30.35	1044.70	M	M	M	M	M	M	M	M	M	M	M	KP60 010256Z AUTO 00000KT M23/M26 A3035 RMK AO1 SLP447 T12331261 51007 $
P60	2016-01-01 03:56	-110.4211	44.5444	-11.02	-16.06	77.64	0.00	0.00	0.00	30.36	1044.80	M	M	M	M	M	M	M	M	M	M	M	KP60 010356Z AUTO 00000KT M24/M27 A3036 RMK AO1 SLP448 T12391267 $
P60	2016-01-01 04:56	-110.4211	44.5444	-13.00	-18.94	73.94	0.00	0.00	0.00	30.36	1044.10	M	M	M	M	M	M	M	M	M	M	M	KP60 010456Z AUTO 00000KT M25/M28 A3036 RMK AO1 SLP441 T12501283 $
P60	2016-01-01 05:56	-110.4211	44.5444	-14.98	-20.02	77.24	0.00	0.00	0.00	30.37	1045.00	M	M	M	M	M	M	M	M	M	M	M	KP60 010556Z AUTO 00000KT M26/M29 A3037 RMK AO1 SLP450 T12611289 11194 21261 51006 $
P60	2016-01-01 06:56	-110.4211	44.5444	-16.96	-22.00	77.04	0.00	0.00	0.00	30.37	1045.00	M	M	M	M	M	M	M	M	M	M	M	KP60 010656Z AUTO 00000KT M27/M30 A3037 RMK AO1 SLP450 T12721300 411441272 $
P60	2016-01-01 07:56	-110.4211	44.5444	-16.96	-22.00	77.04	290.00	3.00	0.00	30.37	1044.80	M	M	M	M	M	M	M	M	M	M	M	KP60 010756Z AUTO 29003KT M27/M30 A3037 RMK AO1 SLP448 T12721300 $
P60	2016-01-01 08:56	-110.4211	44.5444	-18.04	-23.08	76.92	0.00	0.00	0.00	30.36	1044.30	M	M	M	M	M	M	M	M	M	M	M	KP60 010856Z AUTO 00000KT M28/M31 A3036 RMK AO1 SLP443 T12781306 56002 $
P60	2016-01-01 09:56	-110.4211	44.5444	-18.94	-23.98	76.83	0.00	0.00	0.00	30.38	1044.80	M	M	M	M	M	M	M	M	M	M	M	KP60 010956Z AUTO 00000KT M28/M31 A3038 RMK AO1 SLP448 T12831311 $
