#DEBUG: Format Typ    -> tdf
#DEBUG: Time Period   -> 2012-01-01 00:00:00+00:00 2016-11-22 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station	valid	lon	lat	tmpf	 dwpf	 relh	 drct	 sknt	 p01i	 alti	 mslp	 vsby	 gust	 skyc1	 skyc2	 skyc3	 skyc4	 skyl1	 skyl2	 skyl3	 skyl4	 presentwx	 metar
AJL	2013-01-05 19:55	-110.0310	43.6740	19.94	-4.36	33.34	290.00	12.00	0.00	30.16	M	10.00	15.00	CLR	M	M	M	M	M	M	M	M	KAJL 051955Z AUTO 29012G15KT 10SM CLR M07/M20 A3016 RMK AO2 T10671202
AJL	2013-01-05 20:15	-110.0310	43.6740	21.02	-0.40	38.43	270.00	7.00	0.00	30.16	M	10.00	M	CLR	M	M	M	M	M	M	M	M	KAJL 052015Z AUTO 27007KT 10SM CLR M06/M18 A3016 RMK AO2 T10611180
AJL	2013-01-05 20:35	-110.0310	43.6740	20.12	1.22	43.07	260.00	5.00	0.00	30.16	M	10.00	M	CLR	M	M	M	M	M	M	M	M	KAJL 052035Z AUTO 26005KT 10SM CLR M07/M17 A3016 RMK AO2 T10661171
AJL	2013-01-05 20:55	-110.0310	43.6740	20.12	0.50	41.65	280.00	8.00	0.00	30.17	M	10.00	M	CLR	M	M	M	M	M	M	M	M	KAJL 052055Z AUTO 28008KT 10SM CLR M07/M17 A3017 RMK AO2 T10661175
AJL	2013-01-05 21:15	-110.0310	43.6740	20.30	-2.56	35.77	280.00	11.00	0.00	30.17	M	10.00	M	CLR	M	M	M	M	M	M	M	M	KAJL 052115Z AUTO 28011KT 10SM CLR M06/M19 A3017 RMK AO2 T10651192
AJL	2013-01-05 21:35	-110.0310	43.6740	20.12	-2.20	36.67	270.00	11.00	0.00	30.18	M	10.00	M	CLR	M	M	M	M	M	M	M	M	KAJL 052135Z AUTO 27011KT 10SM CLR M07/M19 A3018 RMK AO2 T10661190
AJL	2013-01-05 21:55	-110.0310	43.6740	19.94	1.22	43.40	270.00	5.00	0.00	30.18	M	10.00	M	CLR	M	M	M	M	M	M	M	M	KAJL 052155Z AUTO 27005KT 10SM CLR M07/M17 A3018 RMK AO2 T10671171
AJL	2013-01-05 22:15	-110.0310	43.6740	19.58	0.32	42.26	270.00	9.00	0.00	30.19	M	10.00	M	CLR	M	M	M	M	M	M	M	M	KAJL 052215Z AUTO 27009KT 10SM CLR M07/M18 A3019 RMK AO2 T10691176
AJL	2013-01-05 22:35	-110.0310	43.6740	19.40	-0.76	40.48	270.00	10.00	0.00	30.18	M	10.00	M	CLR	M	M	M	M	M	M	M	M	KAJL 052235Z AUTO 27010KT 10SM CLR M07/M18 A3018 RMK AO2 T10701182
AJL	2013-01-05 22:55	-110.0310	43.6740	19.22	-0.40	41.49	260.00	8.00	0.00	30.19	M	10.00	M	CLR	M	M	M	M	M	M	M	M	KAJL 052255Z AUTO 26008KT 10SM CLR M07/M18 A3019 RMK AO2 T10711180
